2.104,JPMCB,234 North Main Street,234 North Main Street,Walnut Cove,NC,27052,Stokes,1,Retail,Freestanding,1950,  
2.105,JPMCB,1611 South Miami Boulevard,1611 South Miami Boulevard,Durham,NC,27703,Durham,1,Retail,Freestanding,1981,  
2.106,JPMCB,300 South Mock Road,300 South Mock Road,Albany,GA,31705,Dougherty,1,Retail,Freestanding,1980,  
2.107,JPMCB,624 West Main Street,624 West Main Street,Sylva,NC,28779,Jackson,1,Retail,Freestanding,1920,  
2.108,JPMCB,1213 Greenland Drive,1213 Greenland Drive,Murfreesboro,TN,37130,Rutherford,1,Retail,Freestanding,1971,  
2.109,JPMCB,4720 Highway 49 South,4720 Highway 49 South,Harrisburg,NC,28075,Cabarrus,1,Retail,Freestanding,1971,  
2.110,JPMCB,4306 North Liberty Street,4306 North Liberty Street,Winston-Salem,NC,27105,Forsyth,1,Retail,Freestanding,1982,  
2.111,JPMCB,416 Highway 27 South,416 Highway 27 South,Stanley,NC,28164,Gaston,1,Retail,Freestanding,1985,  
2.112,JPMCB,110 West 10th Street,110 West 10th Street,Chattanooga,TN,37402,Hamilton,1,Retail,Freestanding,1978,  
2.113,JPMCB,7133 Forest Hill Avenue,7133 Forest Hill Avenue,Richmond,VA,23225,Richmond City,1,Retail,Freestanding,1968,  
2.114,JPMCB,4830 Jefferson Davis Highway,4830 Jefferson Davis Highway,Richmond,VA,23234,Chesterfield,1,Retail,Freestanding,1967,  
2.115,JPMCB,5716 West Andrew Johnson Highway,5716 West Andrew Johnson Highway,Morristown,TN,37814,Hamblen,1,Retail,Freestanding,1991,  
2.116,JPMCB,869 North Lee Highway,869 North Lee Highway,Lexington,VA,24450,Rockbridge,1,Retail,Freestanding,1976,  
2.117,JPMCB,7880 Broad Street,7880 Broad Street,Rural Hall,NC,27045,Forsyth,1,Retail,Freestanding,1978,  
2.118,JPMCB,400 West Main Street,400 West Main Street,Radford,VA,24141,Radford,1,Retail,Freestanding,1957,  
2.119,JPMCB,23364 Front Street,23364 Front Street,Accomac,VA,23301,Accomack,1,Retail,Freestanding,1934,  
2.120,JPMCB,4394 South NC Highway 150,4394 South NC Highway 150,Lexington,NC,27295,Davidson,1,Retail,Freestanding,1977,  
2.121,JPMCB,33287 Railroad Avenue,33287 Railroad Avenue,Painter,VA,23420,Accomack,1,Retail,Freestanding,1971,  
3,JPMCB,Asheville Mall,3 South Tunnel Road,Asheville,NC,28805,Buncombe,1,Retail,Anchored,1972,2000
4,JPMCB,Sun Development and Management Portfolio,Various,Various,Various,Various,Various,5,Hotel,Various,Various,Various
4.001,JPMCB,Embassy Suites Palmdale,39375 5th Street West,Palmdale,CA,93551,Los Angeles,1,Hotel,Full Service,2010,  
4.002,JPMCB,Hilton Garden Inn Ridgefield Park,70 Challenger Road,Ridgefield Park,NJ,07660,Bergen,1,Hotel,Limited Service,2009,  
