  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.104,JPMCB,234 North Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,750",12/31/17,  ,  ,  ,  
2.105,JPMCB,1611 South Miami Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"1,820",12/31/17,  ,  ,  ,  
2.106,JPMCB,300 South Mock Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,127",12/31/17,  ,  ,  ,  
2.107,JPMCB,624 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,484",12/31/17,  ,  ,  ,  
2.108,JPMCB,1213 Greenland Drive,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,000",12/31/17,  ,  ,  ,  
2.109,JPMCB,4720 Highway 49 South,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,166",12/31/17,  ,  ,  ,  
2.110,JPMCB,4306 North Liberty Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,216",12/31/17,  ,  ,  ,  
2.111,JPMCB,416 Highway 27 South,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,400",12/31/17,  ,  ,  ,  
2.112,JPMCB,110 West 10th Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,026",12/31/17,  ,  ,  ,  
2.113,JPMCB,7133 Forest Hill Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,600",12/31/17,  ,  ,  ,  
2.114,JPMCB,4830 Jefferson Davis Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,717",12/31/17,  ,  ,  ,  
2.115,JPMCB,5716 West Andrew Johnson Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,500",12/31/17,  ,  ,  ,  
2.116,JPMCB,869 North Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"1,600",12/31/17,  ,  ,  ,  
2.117,JPMCB,7880 Broad Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"1,800",12/31/17,  ,  ,  ,  
2.118,JPMCB,400 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,053",12/31/17,  ,  ,  ,  
2.119,JPMCB,23364 Front Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"1,157",12/31/17,  ,  ,  ,  
2.120,JPMCB,4394 South NC Highway 150,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"1,100",12/31/17,  ,  ,  ,  
2.121,JPMCB,33287 Railroad Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"1,173",12/31/17,  ,  ,  ,  
3,JPMCB,Asheville Mall,  ,  ,  ,  ,  ,  ,  ,  ,No,Barnes & Noble,"35,968",04/30/19,  ,Old Navy,"17,556",01/31/17
4,JPMCB,Sun Development and Management Portfolio,"1,000,000",  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
4.001,JPMCB,Embassy Suites Palmdale,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
4.002,JPMCB,Hilton Garden Inn Ridgefield Park,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
4.003,JPMCB,Homewood Suites Nashville,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
4.004,JPMCB,Hampton Inn & Suites South Lake Buena Vista,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
4.005,JPMCB,Candlewood Suites Hattiesburg,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
5,JPMCB,Google Kirkland Campus,"87,660",  ,  ,  ,  ,  ,  ,  ,Yes,Google,"194,825",01/31/20,  ,  ,  ,  
6,JPMCB,24 West 57th Street,  ,  ,"750,000",  ,  ,  ,  ,  ,No,Ana Tzarev,"17,530",08/31/17,  ,Marian Goodman Gallery,"14,318",06/30/16
7,JPMCB,Kite Retail Portfolio,"144,000",  ,"810,000",  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
7.001,JPMCB,Boulevard Crossing,  ,  ,  ,  ,  ,  ,  ,  ,No,TJ Maxx,"25,000",03/31/14,  ,PetCo,"13,560",01/31/15
7.002,JPMCB,Hamilton Crossing Center,  ,  ,  ,  ,  ,  ,  ,  ,No,Office Depot,"30,722",06/30/14,  ,Jason's Deli,"4,900",06/30/21
7.003,JPMCB,Naperville Marketplace,  ,  ,  ,  ,  ,  ,  ,  ,No,TJ Maxx,"33,000",08/31/16,  ,PetSmart,"28,683",09/30/18
7.004,JPMCB,Publix at Acworth,  ,  ,  ,  ,  ,  ,  ,  ,No,Publix,"37,888",05/31/17,  ,CVS,"9,240",04/30/12
8,JPMCB,Orland Park Place,  ,  ,  ,  ,  ,  ,  ,  ,No,Dick's Sporting Goods,"100,000",01/31/19,  ,Bed Bath & Beyond,"55,804",01/31/15
9,JPMCB,LaSalle Select Portfolio,  ,  ,"1,500,000",  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
9.001,JPMCB,5707 Peachtree Parkway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,HCA,"99,142",12/31/20,  ,  ,  ,  
