2.104,JPMCB,234 North Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.105,JPMCB,1611 South Miami Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.106,JPMCB,300 South Mock Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.107,JPMCB,624 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.108,JPMCB,1213 Greenland Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.109,JPMCB,4720 Highway 49 South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.110,JPMCB,4306 North Liberty Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.111,JPMCB,416 Highway 27 South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.112,JPMCB,110 West 10th Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.113,JPMCB,7133 Forest Hill Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.114,JPMCB,4830 Jefferson Davis Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.115,JPMCB,5716 West Andrew Johnson Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.116,JPMCB,869 North Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.117,JPMCB,7880 Broad Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.118,JPMCB,400 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.119,JPMCB,23364 Front Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.120,JPMCB,4394 South NC Highway 150,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.121,JPMCB,33287 Railroad Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3,JPMCB,Asheville Mall,"CBL & Associates Properties, Inc.",Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
4,JPMCB,Sun Development and Management Portfolio,Bharat N. Patel,Yes,Hard,No,Yes,"17,700,000",Mezzanine Loan,"73,724,503",1.22,71.9%,9.7%
4.001,JPMCB,Embassy Suites Palmdale,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.002,JPMCB,Hilton Garden Inn Ridgefield Park,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.003,JPMCB,Homewood Suites Nashville,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.004,JPMCB,Hampton Inn & Suites South Lake Buena Vista,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.005,JPMCB,Candlewood Suites Hattiesburg,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5,JPMCB,Google Kirkland Campus,"John M. Stone, Suzanne Stone, Bryan P. Stone, et. al",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
6,JPMCB,24 West 57th Street,"Berndt Perl, Kenneth Aschendorf",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
7,JPMCB,Kite Retail Portfolio,"Kite Realty Group, L.P.",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
7.001,JPMCB,Boulevard Crossing,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
7.002,JPMCB,Hamilton Crossing Center,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
7.003,JPMCB,Naperville Marketplace,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
7.004,JPMCB,Publix at Acworth,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
8,JPMCB,Orland Park Place,"IN Retail Fund, L.L.C.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
9,JPMCB,LaSalle Select Portfolio,"Rosemont Realty, LLC",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
9.001,JPMCB,5707 Peachtree Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.002,JPMCB,3585 Engineering Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.003,JPMCB,6455 East Johns Crossing,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.004,JPMCB,6625 The Corners Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
10,JPMCB,Denver West Village,The Mills Limited Partnership,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
11,JPMCB,Lehigh Valley Portfolio,"Penncap Properties Portfolio, LP",Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
11.001,JPMCB,1640-1660 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.002,JPMCB,1455 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.003,JPMCB,1560 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.004,JPMCB,1550 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.005,JPMCB,1510 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.006,JPMCB,1530 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
12,JPMCB,Eddy Street Commons at Notre Dame,"Kite Realty Group, L.P.",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
13,JPMCB,SunTrust Bank Portfolio II,"Inland American Real Estate Trust, Inc.",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
13.001,JPMCB,4240 West Lake Mary Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.002,JPMCB,26627 US Highway 19 North,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.003,JPMCB,597 Solomons Island Road North,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.004,JPMCB,4425 Lafayette Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.005,JPMCB,1850 US Highway 1 South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.006,JPMCB,2150 Cleveland Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.007,JPMCB,1605 21st Avenue South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.008,JPMCB,111 Southwest 17th Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.009,JPMCB,7319 Spring Hill Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.010,JPMCB,10000 Taft Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.011,JPMCB,6548 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.012,JPMCB,3990 Southwest State Road 200,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.013,JPMCB,114 West Blue Ridge Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.014,JPMCB,240 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.015,JPMCB,892 Deltona Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.016,JPMCB,5370 Peachtree Industrial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.017,JPMCB,7612 State Road 52,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.018,JPMCB,286 Hancock Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.019,JPMCB,100 Flagler Plaza Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.020,JPMCB,7801 Pineville-Matthews Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.021,JPMCB,201 South Peterson Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.022,JPMCB,5705 High Point Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.023,JPMCB,804 North Madison Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.024,JPMCB,5473 East Mountain Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.025,JPMCB,5 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.026,JPMCB,1645 Bradley Park Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.027,JPMCB,201 South Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.028,JPMCB,3000 Virginia Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.029,JPMCB,88 Hillsboro Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.030,JPMCB,426 West Walnut Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
14,JPMCB,Sawyer Heights Village,"Inland Western Retail Real Estate Trust, Inc.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
15,JPMCB,University Town Center,"Inland Diversified Real Estate Trust, Inc.",Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
16,JPMCB,Maitland 200,"Thomas W. Brown, Thomas N. Trkla",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
17,JPMCB,Landing Apartments,"Rosemont Realty, LLC",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
18,JPMCB,Prattville Town Center,"Inland Diversified Real Estate Trust, Inc.",Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
19,JPMCB,Northcrest Shopping Center,"Inland Diversified Real Estate Trust, Inc.",Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
20,JPMCB,Verizon Alabama HQ,Mohannad S. Malas,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
21,JPMCB,Brooks Corner,"Minto Builders (Florida), Inc.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
22,JPMCB,Bayport Commons,"Kite Realty Group, L.P.",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
23,JPMCB,Inman Grove Shopping Center,"Terry F. Spragens, Jeffrey G. Spragens, James M. Ballard",Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
24,JPMCB,River North Portfolio,Albert M. Friedman,Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
24.001,JPMCB,114. W. Illinois,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
24.002,JPMCB,500 N. Clark,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
25,JPMCB,Fairview Heights Plaza,Gregory P. Forester,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
26,JPMCB,Heritage Commons III,"Macquarie CNL Income, LP",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
27,JPMCB,Bird Creek Crossing,"Inland Western Retail Real Estate Trust, Inc.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
28,JPMCB,Red Top Plaza,"INP Retail, L.P.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
29,JPMCB,Shaw's Londonderry,R. Norman Wood,Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
30,JPMCB,Kensington Place MHC,"Spencer M. Partrich, Mickey Shapiro",No,NAP,No,No,NAP,NAP,NAP,NAP,NAP,NAP
31,JPMCB,Franklin Centre,"Mark Lambert, Craig Whitehead",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
32,JPMCB,Village Ten Center,Inland Real Estate Corporation,Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
33,JPMCB,Caton Crossing,Inland Real Estate Corporation,Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
34,JPMCB,340 North Belt Place,Andrew Segal,Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
35,JPMCB,Morningstar of Chapel Hill,Stephen E. Benson,Yes,Soft,No,No,NAP,NAP,NAP,NAP,NAP,NAP
36,JPMCB,The Cove at Southern,Harold Rosenblum,Yes,Soft,No,No,NAP,NAP,NAP,NAP,NAP,NAP
37,JPMCB,Lake Mary Plaza,"Inland Diversified Real Estate Trust, Inc.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
38,JPMCB,Creek Crossing Shopping Center,William L. Huntley,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
39,JPMCB,Walgreens Plaza,"Inland Diversified Real Estate Trust, Inc.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
40,JPMCB,Heritage Square,"Inland Diversified Real Estate Trust, Inc.",Yes,Springing,No,No,NAP,NAP,NAP,NAP,NAP,NAP
41,JPMCB,Towneplace Suites Charlotte,Hiren Desai,Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
42,JPMCB,Fairfield Inn & Suites East Ridge,Hiren Desai,Yes,CMA,No,No,NAP,NAP,NAP,NAP,NAP,NAP
43,JPMCB,Academy Sports Weslaco,Richard C. Dunsay,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP
44,JPMCB,Morningstar of Virginia Beach,Stephen E. Benson,Yes,Soft,No,No,NAP,NAP,NAP,NAP,NAP,NAP
