1,JPMCB,InterContinental Hotel Chicago,792,Rooms,76.8%,06/30/11,"289,000,000",07/01/11,50.2%,"145,000,000","183,081","145,000,000","183,081",14.1%,No,  ,5.61000,0.10720,5.50280,Actual/360
2,JPMCB,SunTrust Bank Portfolio I,"646,399",Square Feet,100.0%,06/15/11,"199,901,000",Various,50.0%,"100,000,000",155,"100,000,000",155,9.7%,No,1,5.42000,0.10720,5.31280,Actual/360
2.001,JPMCB,3020 Peachtree Road NW,"12,940",Square Feet,100.0%,06/15/11,"8,000,000",05/11/11,  ,"4,000,380",  ,"4,000,380",  ,0.4%,  ,  ,  ,  ,  ,  
2.002,JPMCB,1030 Wilmer Avenue,"78,308",Square Feet,100.0%,06/15/11,"7,800,000",05/10/11,  ,"3,900,371",  ,"3,900,371",  ,0.4%,  ,  ,  ,  ,  ,  
2.003,JPMCB,7500 Wisconsin Avenue,"11,060",Square Feet,100.0%,06/15/11,"6,300,000",05/23/11,  ,"3,150,299",  ,"3,150,299",  ,0.3%,  ,  ,  ,  ,  ,  
2.004,JPMCB,3300 Northside Parkway NW,"9,789",Square Feet,100.0%,06/15/11,"5,000,000",05/11/11,  ,"2,500,238",  ,"2,500,238",  ,0.2%,  ,  ,  ,  ,  ,  
2.005,JPMCB,5898 Roswell Road NE,"6,853",Square Feet,100.0%,06/15/11,"3,900,000",05/11/11,  ,"1,950,185",  ,"1,950,185",  ,0.2%,  ,  ,  ,  ,  ,  
2.006,JPMCB,152 Main Street,"5,900",Square Feet,100.0%,06/15/11,"3,700,000",05/06/11,  ,"1,850,176",  ,"1,850,176",  ,0.2%,  ,  ,  ,  ,  ,  
2.007,JPMCB,100 Crain Highway SW,"6,645",Square Feet,100.0%,06/15/11,"3,300,000",05/09/11,  ,"1,650,157",  ,"1,650,157",  ,0.2%,  ,  ,  ,  ,  ,  
2.008,JPMCB,4250 John Marr Drive,"2,440",Square Feet,100.0%,06/15/11,"3,250,000",05/23/11,  ,"1,625,154",  ,"1,625,154",  ,0.2%,  ,  ,  ,  ,  ,  
2.009,JPMCB,160 Garrisonville Road,"3,800",Square Feet,100.0%,06/15/11,"2,825,000",05/23/11,  ,"1,412,634",  ,"1,412,634",  ,0.1%,  ,  ,  ,  ,  ,  
2.010,JPMCB,5775 Red Bug Lake Road,"5,465",Square Feet,100.0%,06/15/11,"2,800,000",05/21/11,  ,"1,400,133",  ,"1,400,133",  ,0.1%,  ,  ,  ,  ,  ,  
2.011,JPMCB,4212 Washington Road,"9,235",Square Feet,100.0%,06/15/11,"2,650,000",05/12/11,  ,"1,325,126",  ,"1,325,126",  ,0.1%,  ,  ,  ,  ,  ,  
2.012,JPMCB,47 Whitlock Avenue,"8,310",Square Feet,100.0%,06/15/11,"2,650,000",05/11/11,  ,"1,325,126",  ,"1,325,126",  ,0.1%,  ,  ,  ,  ,  ,  
2.013,JPMCB,4110 Brambleton Avenue SW,"6,032",Square Feet,100.0%,06/15/11,"2,550,000",05/20/11,  ,"1,275,121",  ,"1,275,121",  ,0.1%,  ,  ,  ,  ,  ,  
2.014,JPMCB,880 East Palmetto Park Road,"4,000",Square Feet,100.0%,06/15/11,"2,500,000",05/11/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  
2.015,JPMCB,1409 East Atlantic Boulevard,"5,200",Square Feet,100.0%,06/15/11,"2,500,000",05/11/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  
2.016,JPMCB,3577 Fruitville Road,"4,684",Square Feet,100.0%,06/15/11,"2,500,000",05/09/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  
2.017,JPMCB,827 Joe Frank Harris Parkway,"8,992",Square Feet,100.0%,06/15/11,"2,500,000",05/11/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  
2.018,JPMCB,1470 West Granada Boulevard,"5,300",Square Feet,100.0%,06/15/11,"2,400,000",05/20/11,  ,"1,200,114",  ,"1,200,114",  ,0.1%,  ,  ,  ,  ,  ,  
2.019,JPMCB,103 City Circle,"7,166",Square Feet,100.0%,06/15/11,"2,400,000",05/10/11,  ,"1,200,114",  ,"1,200,114",  ,0.1%,  ,  ,  ,  ,  ,  
2.020,JPMCB,110 Mulberry Street NW,"11,433",Square Feet,100.0%,06/15/11,"2,375,000",05/20/11,  ,"1,187,613",  ,"1,187,613",  ,0.1%,  ,  ,  ,  ,  ,  
2.021,JPMCB,1331 Johnson Ferry Road,"4,911",Square Feet,100.0%,06/15/11,"2,300,000",05/11/11,  ,"1,150,109",  ,"1,150,109",  ,0.1%,  ,  ,  ,  ,  ,  
2.022,JPMCB,8226 North Wickham Road,"9,269",Square Feet,100.0%,06/15/11,"2,300,000",05/20/11,  ,"1,150,109",  ,"1,150,109",  ,0.1%,  ,  ,  ,  ,  ,  
2.023,JPMCB,3620 Six Forks Road,"16,491",Square Feet,100.0%,06/15/11,"2,250,000",05/17/11,  ,"1,115,106",  ,"1,115,106",  ,0.1%,  ,  ,  ,  ,  ,  
2.024,JPMCB,1725 Mallory Lane,"5,135",Square Feet,100.0%,06/15/11,"2,225,000",05/20/11,  ,"1,112,606",  ,"1,112,606",  ,0.1%,  ,  ,  ,  ,  ,  
2.025,JPMCB,4290 13th Street,"5,000",Square Feet,100.0%,06/15/11,"2,200,000",05/20/11,  ,"1,100,105",  ,"1,100,105",  ,0.1%,  ,  ,  ,  ,  ,  
2.026,JPMCB,3800 South Semoran Boulevard,"5,000",Square Feet,100.0%,06/15/11,"2,200,000",05/16/11,  ,"1,100,105",  ,"1,100,105",  ,0.1%,  ,  ,  ,  ,  ,  
2.027,JPMCB,200 East Fifth Avenue,"4,908",Square Feet,100.0%,06/15/11,"2,200,000",05/20/11,  ,"1,100,105",  ,"1,100,105",  ,0.1%,  ,  ,  ,  ,  ,  
2.028,JPMCB,1411 Woodward Avenue,"6,596",Square Feet,100.0%,06/15/11,"2,175,000",05/09/11,  ,"1,087,603",  ,"1,087,603",  ,0.1%,  ,  ,  ,  ,  ,  
2.029,JPMCB,5025 West Colonial Drive,"12,340",Square Feet,100.0%,06/15/11,"2,100,000",05/20/11,  ,"1,050,100",  ,"1,050,100",  ,0.1%,  ,  ,  ,  ,  ,  
2.030,JPMCB,214 West Broadway Street,"13,320",Square Feet,100.0%,06/15/11,"2,100,000",05/12/11,  ,"1,050,100",  ,"1,050,100",  ,0.1%,  ,  ,  ,  ,  ,  
2.031,JPMCB,5030 Thoroughbred Lane,"4,750",Square Feet,100.0%,06/15/11,"2,075,000",05/20/11,  ,"1,037,599",  ,"1,037,599",  ,0.1%,  ,  ,  ,  ,  ,  
2.032,JPMCB,403 Academy Street,"4,904",Square Feet,100.0%,06/15/11,"2,070,000",05/13/11,  ,"1,035,098",  ,"1,035,098",  ,0.1%,  ,  ,  ,  ,  ,  
2.033,JPMCB,1900 Queens Chapel Road,"4,599",Square Feet,100.0%,06/15/11,"2,050,000",05/13/11,  ,"1,025,097",  ,"1,025,097",  ,0.1%,  ,  ,  ,  ,  ,  
2.034,JPMCB,113 East Granada Boulevard,"4,900",Square Feet,100.0%,06/15/11,"2,000,000",05/20/11,  ,"1,000,095",  ,"1,000,095",  ,0.1%,  ,  ,  ,  ,  ,  
2.035,JPMCB,408 South US Highway 41,"6,400",Square Feet,100.0%,06/15/11,"2,000,000",05/20/11,  ,"1,000,095",  ,"1,000,095",  ,0.1%,  ,  ,  ,  ,  ,  
2.036,JPMCB,299 Bill France Boulevard,"4,200",Square Feet,100.0%,06/15/11,"2,000,000",05/20/11,  ,"1,000,095",  ,"1,000,095",  ,0.1%,  ,  ,  ,  ,  ,  
2.037,JPMCB,1235 Southlake Circle,"10,537",Square Feet,100.0%,06/15/11,"1,900,000",05/10/11,  ,"950,090",  ,"950,090",  ,0.1%,  ,  ,  ,  ,  ,  
2.038,JPMCB,6300 Central Avenue,"3,786",Square Feet,100.0%,06/15/11,"1,900,000",05/11/11,  ,"950,090",  ,"950,090",  ,0.1%,  ,  ,  ,  ,  ,  
2.039,JPMCB,2503 Lebanon Road,"6,600",Square Feet,100.0%,06/15/11,"1,850,000",05/20/11,  ,"925,088",  ,"925,088",  ,0.1%,  ,  ,  ,  ,  ,  
2.040,JPMCB,2458 North Wickham Road,"4,600",Square Feet,100.0%,06/15/11,"1,800,000",05/20/11,  ,"900,086",  ,"900,086",  ,0.1%,  ,  ,  ,  ,  ,  
2.041,JPMCB,160 North Nova Road,"4,200",Square Feet,100.0%,06/15/11,"1,800,000",05/20/11,  ,"900,086",  ,"900,086",  ,0.1%,  ,  ,  ,  ,  ,  
2.042,JPMCB,1301 Northwest Saint Lucie West Boulevard,"4,000",Square Feet,100.0%,06/15/11,"1,800,000",05/11/11,  ,"900,086",  ,"900,086",  ,0.1%,  ,  ,  ,  ,  ,  
2.043,JPMCB,1075 Carpenters Way,"4,938",Square Feet,100.0%,06/15/11,"1,800,000",05/12/11,  ,"900,086",  ,"900,086",  ,0.1%,  ,  ,  ,  ,  ,  
2.044,JPMCB,930 Main Street,"8,527",Square Feet,100.0%,06/15/11,"1,800,000",05/10/11,  ,"900,086",  ,"900,086",  ,0.1%,  ,  ,  ,  ,  ,  
2.045,JPMCB,3301 Gulf Breeze Parkway,"5,200",Square Feet,100.0%,06/15/11,"1,700,000",05/09/11,  ,"850,081",  ,"850,081",  ,0.1%,  ,  ,  ,  ,  ,  
2.046,JPMCB,55 Farrs Bridge Road,"5,000",Square Feet,100.0%,06/15/11,"1,625,000",05/18/11,  ,"812,577",  ,"812,577",  ,0.1%,  ,  ,  ,  ,  ,  
2.047,JPMCB,314 East Eau Gallie Boulevard,"3,750",Square Feet,100.0%,06/15/11,"1,600,000",05/20/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  
2.048,JPMCB,2300 South Atlantic Avenue,"3,600",Square Feet,100.0%,06/15/11,"1,600,000",05/20/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  
2.049,JPMCB,9955 Southeast Federal Highway,"3,400",Square Feet,100.0%,06/15/11,"1,600,000",05/11/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  
2.050,JPMCB,5303 Southwest 91st Drive,"4,420",Square Feet,100.0%,06/15/11,"1,600,000",05/20/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  
2.051,JPMCB,1610 Woodruff Road,"3,832",Square Feet,100.0%,06/15/11,"1,575,000",05/18/11,  ,"787,575",  ,"787,575",  ,0.1%,  ,  ,  ,  ,  ,  
2.052,JPMCB,5727 Gantt Road,"3,131",Square Feet,100.0%,06/15/11,"1,500,000",05/09/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  
2.053,JPMCB,7879 West Commercial Boulevard,"4,000",Square Feet,100.0%,06/15/11,"1,500,000",05/11/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  
2.054,JPMCB,140 West Main Street,"5,400",Square Feet,100.0%,06/15/11,"1,500,000",05/16/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  
2.055,JPMCB,234 Barton Boulevard,"3,667",Square Feet,100.0%,06/15/11,"1,400,000",05/20/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  
2.056,JPMCB,7061 South US Highway 1,"3,200",Square Feet,100.0%,06/15/11,"1,500,000",05/11/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  
2.057,JPMCB,204 West Center Street,"5,483",Square Feet,100.0%,06/15/11,"1,450,000",05/16/11,  ,"725,069",  ,"725,069",  ,0.1%,  ,  ,  ,  ,  ,  
2.058,JPMCB,4410 Altama Avenue,"4,600",Square Feet,100.0%,06/15/11,"1,450,000",05/11/11,  ,"725,069",  ,"725,069",  ,0.1%,  ,  ,  ,  ,  ,  
2.059,JPMCB,1935 Galleria Boulevard,"3,188",Square Feet,100.0%,06/15/11,"1,420,000",05/20/11,  ,"710,067",  ,"710,067",  ,0.1%,  ,  ,  ,  ,  ,  
2.060,JPMCB,4800 Northwest Blichton Road,"5,586",Square Feet,100.0%,06/15/11,"1,400,000",05/20/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  
2.061,JPMCB,7001 Lee Highway,"5,057",Square Feet,100.0%,06/15/11,"1,400,000",05/16/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  
2.062,JPMCB,344 Monument Road,"3,450",Square Feet,100.0%,06/15/11,"1,400,000",05/11/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  
2.063,JPMCB,3850 Rockbridge Road,"7,016",Square Feet,100.0%,06/15/11,"1,400,000",05/10/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  
2.064,JPMCB,4142 Sixth Street South,"3,000",Square Feet,100.0%,06/15/11,"1,400,000",05/11/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  
2.065,JPMCB,189 South Lowry Street,"5,006",Square Feet,100.0%,06/15/11,"1,375,000",05/20/11,  ,"687,565",  ,"687,565",  ,0.1%,  ,  ,  ,  ,  ,  
2.066,JPMCB,222 South Main Street,"4,701",Square Feet,100.0%,06/15/11,"1,375,000",05/20/11,  ,"687,565",  ,"687,565",  ,0.1%,  ,  ,  ,  ,  ,  
2.067,JPMCB,3720 3rd Street South,"2,770",Square Feet,100.0%,06/15/11,"1,300,000",05/12/11,  ,"650,062",  ,"650,062",  ,0.1%,  ,  ,  ,  ,  ,  
2.068,JPMCB,21744 State Road 54,"3,750",Square Feet,100.0%,06/15/11,"1,300,000",05/10/11,  ,"650,062",  ,"650,062",  ,0.1%,  ,  ,  ,  ,  ,  
2.069,JPMCB,4041 Rowan Road,"3,638",Square Feet,100.0%,06/15/11,"1,300,000",05/10/11,  ,"650,062",  ,"650,062",  ,0.1%,  ,  ,  ,  ,  ,  
2.070,JPMCB,4986 North Henry Boulevard,"6,211",Square Feet,100.0%,06/15/11,"1,300,000",05/10/11,  ,"650,062",  ,"650,062",  ,0.1%,  ,  ,  ,  ,  ,  
2.071,JPMCB,62 Market Street,"6,659",Square Feet,100.0%,06/15/11,"1,243,000",05/13/11,  ,"621,559",  ,"621,559",  ,0.1%,  ,  ,  ,  ,  ,  
2.072,JPMCB,610 East Derenne Avenue,"3,350",Square Feet,100.0%,06/15/11,"1,200,000",05/12/11,  ,"600,057",  ,"600,057",  ,0.1%,  ,  ,  ,  ,  ,  
2.073,JPMCB,4125 State Road 60,"2,500",Square Feet,100.0%,06/15/11,"1,200,000",05/20/11,  ,"600,057",  ,"600,057",  ,0.1%,  ,  ,  ,  ,  ,  
2.074,JPMCB,1821 Hillandale Road,"2,955",Square Feet,100.0%,06/15/11,"1,160,000",05/16/11,  ,"580,055",  ,"580,055",  ,0.1%,  ,  ,  ,  ,  ,  
2.075,JPMCB,180 Gaines School Road,"3,230",Square Feet,100.0%,06/15/11,"1,160,000",05/12/11,  ,"580,055",  ,"580,055",  ,0.1%,  ,  ,  ,  ,  ,  
2.076,JPMCB,2815 Skidaway Road,"3,200",Square Feet,100.0%,06/15/11,"1,150,000",05/12/11,  ,"575,055",  ,"575,055",  ,0.1%,  ,  ,  ,  ,  ,  
2.077,JPMCB,2100 West Cumberland Street,"4,156",Square Feet,100.0%,06/15/11,"1,120,000",05/17/11,  ,"560,053",  ,"560,053",  ,0.1%,  ,  ,  ,  ,  ,  
2.078,JPMCB,9601 East Dr. Martin Luther King Junior Boulevard,"2,988",Square Feet,100.0%,06/15/11,"1,100,000",05/10/11,  ,"550,052",  ,"550,052",  ,0.1%,  ,  ,  ,  ,  ,  
2.079,JPMCB,2915 Nolensville Road,"3,886",Square Feet,100.0%,06/15/11,"1,050,000",05/20/11,  ,"525,050",  ,"525,050",  ,0.1%,  ,  ,  ,  ,  ,  
2.080,JPMCB,496 Mclaws Circle,"2,211",Square Feet,100.0%,06/15/11,"1,050,000",05/12/11,  ,"525,050",  ,"525,050",  ,0.1%,  ,  ,  ,  ,  ,  
2.081,JPMCB,201 South Pleasantburg Drive,"3,251",Square Feet,100.0%,06/15/11,"1,050,000",05/18/11,  ,"525,050",  ,"525,050",  ,0.1%,  ,  ,  ,  ,  ,  
2.082,JPMCB,1250 South Church Street,"5,320",Square Feet,100.0%,06/15/11,"1,025,000",05/20/11,  ,"512,549",  ,"512,549",  ,0.0%,  ,  ,  ,  ,  ,  
2.083,JPMCB,1104 Gray Highway,"3,532",Square Feet,100.0%,06/15/11,"1,010,000",05/11/11,  ,"505,048",  ,"505,048",  ,0.0%,  ,  ,  ,  ,  ,  
2.084,JPMCB,3814 Northwest 43rd Street,"2,500",Square Feet,100.0%,06/15/11,"1,000,000",05/20/11,  ,"500,048",  ,"500,048",  ,0.0%,  ,  ,  ,  ,  ,  
2.085,JPMCB,111 North Causeway,"2,922",Square Feet,100.0%,06/15/11,"1,000,000",05/20/11,  ,"500,048",  ,"500,048",  ,0.0%,  ,  ,  ,  ,  ,  
