2.104,JPMCB,234 North Main Street,95.0%,"75,622","2,269","73,353","5,138","68,216",  ,  ,  ,  ,Fee,  ,  ,  
2.105,JPMCB,1611 South Miami Boulevard,95.0%,"49,810","1,494","48,315","2,493","45,822",  ,  ,  ,  ,Fee,  ,  ,  
2.106,JPMCB,300 South Mock Road,95.0%,"44,141","1,324","42,817","4,284","38,533",  ,  ,  ,  ,Fee,  ,  ,  
2.107,JPMCB,624 West Main Street,95.0%,"50,092","1,503","48,589","3,403","45,186",  ,  ,  ,  ,Fee,  ,  ,  
2.108,JPMCB,1213 Greenland Drive,95.0%,"42,956","1,289","41,667","2,740","38,927",  ,  ,  ,  ,Fee,  ,  ,  
2.109,JPMCB,4720 Highway 49 South,95.0%,"43,679","1,310","42,369","2,967","39,402",  ,  ,  ,  ,Fee,  ,  ,  
2.110,JPMCB,4306 North Liberty Street,95.0%,"69,266","2,078","67,188","3,036","64,152",  ,  ,  ,  ,Fee,  ,  ,  
2.111,JPMCB,416 Highway 27 South,95.0%,"45,978","1,379","44,599","3,288","41,311",  ,  ,  ,  ,Fee,  ,  ,  
2.112,JPMCB,110 West 10th Street,95.0%,"44,942","1,348","43,593","2,776","40,818",  ,  ,  ,  ,Fee,  ,  ,  
2.113,JPMCB,7133 Forest Hill Avenue,95.0%,"39,324","1,180","38,144","3,562","34,582",  ,  ,  ,  ,Fee,  ,  ,  
2.114,JPMCB,4830 Jefferson Davis Highway,95.0%,"41,093","1,233","39,860","3,722","36,138",  ,  ,  ,  ,Fee,  ,  ,  
2.115,JPMCB,5716 West Andrew Johnson Highway,95.0%,"37,811","1,134","36,677","3,425","33,252",  ,  ,  ,  ,Fee,  ,  ,  
2.116,JPMCB,869 North Lee Highway,95.0%,"30,652",920,"29,733","2,192","27,541",  ,  ,  ,  ,Fee,  ,  ,  
2.117,JPMCB,7880 Broad Street,95.0%,"39,929","1,198","38,731","2,466","36,265",  ,  ,  ,  ,Fee,  ,  ,  
2.118,JPMCB,400 West Main Street,95.0%,"24,840",745,"24,095","2,813","21,283",  ,  ,  ,  ,Fee,  ,  ,  
2.119,JPMCB,23364 Front Street,95.0%,"34,998","1,050","33,948","1,585","32,363",  ,  ,  ,  ,Fee,  ,  ,  
2.120,JPMCB,4394 South NC Highway 150,95.0%,"26,619",799,"25,820","1,507","24,313",  ,  ,  ,  ,Fee,  ,  ,  
2.121,JPMCB,33287 Railroad Avenue,95.0%,"23,655",710,"22,945","1,607","21,338",  ,  ,  ,  ,Fee,  ,  ,  
3,JPMCB,Asheville Mall,93.0%,"12,679,322","3,946,384","8,732,938","573,183","8,159,756",1.48,1.38,11.2%,10.5%,Fee,  ,  ,  
4,JPMCB,Sun Development and Management Portfolio,72.1%,"20,219,986","13,081,810","7,138,177",0,"7,138,177",1.83,1.83,12.7%,12.7%,Fee/Leasehold,Various,Various,Various
4.001,JPMCB,Embassy Suites Palmdale,70.7%,"5,931,126","3,743,251","2,187,875",0,"2,187,875",  ,  ,  ,  ,Fee,  ,  ,11%
4.002,JPMCB,Hilton Garden Inn Ridgefield Park,75.1%,"5,361,318","3,661,394","1,699,924",0,"1,699,924",  ,  ,  ,  ,Leasehold,06/30/56,"3 successive options, 2 for 10 years each and last one ending on 10/2084",  
4.003,JPMCB,Homewood Suites Nashville,77.4%,"3,985,874","2,609,373","1,376,501",0,"1,376,501",  ,  ,  ,  ,Fee,  ,  ,  
4.004,JPMCB,Hampton Inn & Suites South Lake Buena Vista,75.0%,"2,867,622","2,015,682","851,940",0,"851,940",  ,  ,  ,  ,Fee,  ,  ,  
4.005,JPMCB,Candlewood Suites Hattiesburg,61.4%,"2,074,047","1,052,110","1,021,937",0,"1,021,937",  ,  ,  ,  ,Fee,  ,  ,  
5,JPMCB,Google Kirkland Campus,95.0%,"8,348,237","2,401,322","5,946,915","464,926","5,481,989",1.43,1.31,10.9%,10.1%,Fee,  ,  ,9%
6,JPMCB,24 West 57th Street,95.0%,"7,062,297","2,410,948","4,651,349","317,871","4,333,478",1.45,1.35,9.5%,8.9%,Fee,  ,  ,  
7,JPMCB,Kite Retail Portfolio,90.5%,"6,484,653","2,193,504","4,291,149","445,503","3,845,645",1.46,1.31,9.9%,8.9%,Fee,  ,  ,  
7.001,JPMCB,Boulevard Crossing,93.6%,"2,044,393","675,176","1,369,217","181,574","1,187,643",  ,  ,  ,  ,Fee,  ,  ,  
7.002,JPMCB,Hamilton Crossing Center,88.5%,"1,986,423","667,806","1,318,617","127,058","1,191,560",  ,  ,  ,  ,Fee,  ,  ,  
7.003,JPMCB,Naperville Marketplace,92.0%,"1,440,602","538,927","901,675","84,076","817,599",  ,  ,  ,  ,Fee,  ,  ,  
7.004,JPMCB,Publix at Acworth,86.3%,"1,013,235","311,595","701,640","52,796","648,843",  ,  ,  ,  ,Fee,  ,  ,  
8,JPMCB,Orland Park Place,95.0%,"10,676,822","5,181,536","5,495,286","717,965","4,777,320",2.30,2.00,13.0%,11.3%,Fee,  ,  ,  
