1,JPMCB,InterContinental Hotel Chicago,"L(25),Grtr1%orYM(92),O(3)","78,687,110","55,731,474","22,955,636","63,713,751","48,746,390","14,967,361","62,767,661","47,899,159","14,868,502","65,421,022","49,499,229","15,921,793",06/30/11
2,JPMCB,SunTrust Bank Portfolio I,"L(5),Grtr1%orYM(112),O(3)",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.009,JPMCB,160 Garrisonville Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.010,JPMCB,5775 Red Bug Lake Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.011,JPMCB,4212 Washington Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.012,JPMCB,47 Whitlock Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.013,JPMCB,4110 Brambleton Avenue SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.014,JPMCB,880 East Palmetto Park Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.015,JPMCB,1409 East Atlantic Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.016,JPMCB,3577 Fruitville Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.017,JPMCB,827 Joe Frank Harris Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.018,JPMCB,1470 West Granada Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.019,JPMCB,103 City Circle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.020,JPMCB,110 Mulberry Street NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.021,JPMCB,1331 Johnson Ferry Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.022,JPMCB,8226 North Wickham Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.023,JPMCB,3620 Six Forks Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.024,JPMCB,1725 Mallory Lane,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.025,JPMCB,4290 13th Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.026,JPMCB,3800 South Semoran Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.027,JPMCB,200 East Fifth Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.028,JPMCB,1411 Woodward Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.029,JPMCB,5025 West Colonial Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.030,JPMCB,214 West Broadway Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.031,JPMCB,5030 Thoroughbred Lane,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.032,JPMCB,403 Academy Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.033,JPMCB,1900 Queens Chapel Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.034,JPMCB,113 East Granada Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.035,JPMCB,408 South US Highway 41,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.036,JPMCB,299 Bill France Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.037,JPMCB,1235 Southlake Circle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.038,JPMCB,6300 Central Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.039,JPMCB,2503 Lebanon Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.040,JPMCB,2458 North Wickham Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.041,JPMCB,160 North Nova Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.042,JPMCB,1301 Northwest Saint Lucie West Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.043,JPMCB,1075 Carpenters Way,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.044,JPMCB,930 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.045,JPMCB,3301 Gulf Breeze Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.047,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.050,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.054,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.058,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
