1,JPMCB,InterContinental Hotel Chicago,76.8%,"65,807,521","50,124,973","15,682,548",0,"15,682,548",1.57,1.57,10.8%,10.8%,Fee,  ,  ,  
2,JPMCB,SunTrust Bank Portfolio I,95.0%,"15,155,436","454,663","14,700,773","885,567","13,815,207",2.67,2.51,14.7%,13.8%,Fee,  ,  ,  
2.001,JPMCB,3020 Peachtree Road NW,95.0%,"581,911","17,457","564,454","17,728","546,726",  ,  ,  ,  ,Fee,  ,  ,  
2.002,JPMCB,1030 Wilmer Avenue,95.0%,"579,549","17,386","562,163","107,282","454,881",  ,  ,  ,  ,Fee,  ,  ,  
2.003,JPMCB,7500 Wisconsin Avenue,95.0%,"401,463","12,044","389,419","15,152","374,267",  ,  ,  ,  ,Fee,  ,  ,  
2.004,JPMCB,3300 Northside Parkway NW,95.0%,"394,808","11,844","382,964","13,411","369,553",  ,  ,  ,  ,Fee,  ,  ,  
2.005,JPMCB,5898 Roswell Road NE,95.0%,"276,394","8,292","268,102","9,389","258,714",  ,  ,  ,  ,Fee,  ,  ,  
2.006,JPMCB,152 Main Street,95.0%,"267,702","8,031","259,671","8,083","251,588",  ,  ,  ,  ,Fee,  ,  ,  
2.007,JPMCB,100 Crain Highway SW,95.0%,"241,204","7,236","233,968","9,104","224,865",  ,  ,  ,  ,Fee,  ,  ,  
2.008,JPMCB,4250 John Marr Drive,95.0%,"221,422","6,643","214,779","3,343","211,436",  ,  ,  ,  ,Fee,  ,  ,  
2.009,JPMCB,160 Garrisonville Road,95.0%,"199,239","5,977","193,262","5,206","188,056",  ,  ,  ,  ,Fee,  ,  ,  
2.010,JPMCB,5775 Red Bug Lake Road,95.0%,"189,464","5,684","183,780","7,487","176,293",  ,  ,  ,  ,Fee,  ,  ,  
2.011,JPMCB,4212 Washington Road,95.0%,"186,091","5,583","180,508","12,652","167,856",  ,  ,  ,  ,Fee,  ,  ,  
2.012,JPMCB,47 Whitlock Avenue,95.0%,"195,816","5,874","189,942","11,385","178,557",  ,  ,  ,  ,Fee,  ,  ,  
2.013,JPMCB,4110 Brambleton Avenue SW,95.0%,"182,461","5,474","176,987","8,264","168,723",  ,  ,  ,  ,Fee,  ,  ,  
2.014,JPMCB,880 East Palmetto Park Road,95.0%,"176,270","5,288","170,982","5,480","165,502",  ,  ,  ,  ,Fee,  ,  ,  
2.015,JPMCB,1409 East Atlantic Boulevard,95.0%,"186,074","5,582","180,492","7,124","173,368",  ,  ,  ,  ,Fee,  ,  ,  
2.016,JPMCB,3577 Fruitville Road,95.0%,"176,415","5,292","171,123","6,417","164,706",  ,  ,  ,  ,Fee,  ,  ,  
2.017,JPMCB,827 Joe Frank Harris Parkway,95.0%,"199,465","5,984","193,481","12,319","181,162",  ,  ,  ,  ,Fee,  ,  ,  
2.018,JPMCB,1470 West Granada Boulevard,95.0%,"178,399","5,352","173,047","7,261","165,786",  ,  ,  ,  ,Fee,  ,  ,  
2.019,JPMCB,103 City Circle,95.0%,"180,636","5,419","175,217","9,817","165,400",  ,  ,  ,  ,Fee,  ,  ,  
2.020,JPMCB,110 Mulberry Street NW,95.0%,"267,158","8,015","259,143","15,663","243,480",  ,  ,  ,  ,Fee,  ,  ,  
2.021,JPMCB,1331 Johnson Ferry Road,95.0%,"173,311","5,199","168,112","6,728","161,383",  ,  ,  ,  ,Fee,  ,  ,  
2.022,JPMCB,8226 North Wickham Road,95.0%,"157,869","4,736","153,133","12,699","140,434",  ,  ,  ,  ,Fee,  ,  ,  
2.023,JPMCB,3620 Six Forks Road,95.0%,"166,278","4,988","161,290","22,593","138,697",  ,  ,  ,  ,Fee,  ,  ,  
2.024,JPMCB,1725 Mallory Lane,95.0%,"150,791","4,524","146,267","7,035","139,232",  ,  ,  ,  ,Fee,  ,  ,  
2.025,JPMCB,4290 13th Street,95.0%,"163,260","4,898","158,362","6,850","151,512",  ,  ,  ,  ,Fee,  ,  ,  
2.026,JPMCB,3800 South Semoran Boulevard,95.0%,"148,135","4,444","143,691","6,850","136,841",  ,  ,  ,  ,Fee,  ,  ,  
2.027,JPMCB,200 East Fifth Avenue,95.0%,"160,256","4,808","155,448","6,724","148,724",  ,  ,  ,  ,Fee,  ,  ,  
2.028,JPMCB,1411 Woodward Avenue,95.0%,"146,316","4,389","141,926","9,037","132,890",  ,  ,  ,  ,Fee,  ,  ,  
2.029,JPMCB,5025 West Colonial Drive,95.0%,"149,308","4,479","144,829","16,906","127,923",  ,  ,  ,  ,Fee,  ,  ,  
2.030,JPMCB,214 West Broadway Street,95.0%,"147,735","4,432","143,303","18,248","125,055",  ,  ,  ,  ,Fee,  ,  ,  
2.031,JPMCB,5030 Thoroughbred Lane,95.0%,"167,629","5,029","162,600","6,508","156,093",  ,  ,  ,  ,Fee,  ,  ,  
2.032,JPMCB,403 Academy Street,95.0%,"158,230","4,747","153,483","6,718","146,764",  ,  ,  ,  ,Fee,  ,  ,  
2.033,JPMCB,1900 Queens Chapel Road,95.0%,"153,026","4,591","148,435","6,301","142,135",  ,  ,  ,  ,Fee,  ,  ,  
2.034,JPMCB,113 East Granada Boulevard,95.0%,"159,995","4,800","155,195","6,713","148,482",  ,  ,  ,  ,Fee,  ,  ,  
2.035,JPMCB,408 South US Highway 41,95.0%,"148,421","4,453","143,968","8,768","135,200",  ,  ,  ,  ,Fee,  ,  ,  
2.036,JPMCB,299 Bill France Boulevard,95.0%,"141,373","4,241","137,132","5,754","131,378",  ,  ,  ,  ,Fee,  ,  ,  
2.037,JPMCB,1235 Southlake Circle,95.0%,"153,519","4,606","148,913","14,436","134,478",  ,  ,  ,  ,Fee,  ,  ,  
2.038,JPMCB,6300 Central Avenue,95.0%,"137,427","4,123","133,304","5,187","128,117",  ,  ,  ,  ,Fee,  ,  ,  
2.039,JPMCB,2503 Lebanon Road,95.0%,"166,369","4,991","161,378","9,042","152,336",  ,  ,  ,  ,Fee,  ,  ,  
2.040,JPMCB,2458 North Wickham Road,95.0%,"136,284","4,089","132,196","6,302","125,894",  ,  ,  ,  ,Fee,  ,  ,  
2.041,JPMCB,160 North Nova Road,95.0%,"137,138","4,114","133,024","5,754","127,270",  ,  ,  ,  ,Fee,  ,  ,  
